refdes,pin,voltage,current
J1,1,11.994,6.0
J1,2,0.0,-6.0
J2,2,11.8016,-5.99999
J2,1,0.0026421,5.99999
IC2,pdna_pin_S_1,11.9635,-2.96294
IC2,pdna_pin_S_2,11.9644,-3.03704
IC2,pdna_pin_D_1,11.9064,1.54536
IC2,pdna_pin_D_2,11.9067,1.5174
IC2,pdna_pin_D_3,11.9075,1.4569
IC2,pdna_pin_D_4,11.9072,1.48032
L1,1,11.8967,-6.0
L1,2,11.8097,6.0
