x,y,layer1,layer2,voltage1,voltage2,current
5388.61,2477.53,TOP_LAYER,LAYER_1,0.00133095,0.00133097,-8.10165e-05
5388.61,2477.53,LAYER_1,LAYER_2,0.00133097,0.00133103,-8.10165e-05
5388.61,2477.53,LAYER_2,BOTTOM_LAYER,0.00133103,0.00133103,-0
5424.04,1839.73,TOP_LAYER,LAYER_1,0.00135226,0.00135226,-1.45856e-15
5424.04,1839.73,LAYER_1,LAYER_2,0.00135226,0.00135226,-5.31907e-16
5424.04,1839.73,LAYER_2,BOTTOM_LAYER,0.00135226,0.00135226,-0
5424.04,2264.93,TOP_LAYER,LAYER_1,0.00133335,0.00133345,-0.000659404
5424.04,2264.93,LAYER_1,LAYER_2,0.00133345,0.00133399,-0.000659404
5424.04,2264.93,LAYER_2,BOTTOM_LAYER,0.00133399,0.00133399,-0
5424.04,2406.66,TOP_LAYER,LAYER_1,0.00133152,0.00133154,-0.000178199
5424.04,2406.66,LAYER_1,LAYER_2,0.00133154,0.00133169,-0.000178199
5424.04,2406.66,LAYER_2,BOTTOM_LAYER,0.00133169,0.00133169,-0
5424.04,2548.4,TOP_LAYER,LAYER_1,0.00132966,0.00132966,2.29416e-06
5424.04,2548.4,LAYER_1,LAYER_2,0.00132966,0.00132966,2.29416e-06
5424.04,2548.4,LAYER_2,BOTTOM_LAYER,0.00132966,0.00132966,-0
5459.47,1910.6,TOP_LAYER,LAYER_1,0.00134646,0.00134646,-0
5459.47,1910.6,LAYER_1,LAYER_2,0.00134646,0.00134646,-7.97861e-16
5459.47,1910.6,LAYER_2,BOTTOM_LAYER,0.00134646,0.00134646,-0
5459.47,2194.07,TOP_LAYER,LAYER_1,0.00133403,0.00133427,-0.00163901
5459.47,2194.07,LAYER_1,LAYER_2,0.00133427,0.00133561,-0.00163901
5459.47,2194.07,LAYER_2,BOTTOM_LAYER,0.00133561,0.00133561,-0
5459.47,2335.8,TOP_LAYER,LAYER_1,0.00133223,0.00133221,0.000179658
5459.47,2335.8,LAYER_1,LAYER_2,0.00133221,0.00133206,0.000179658
5459.47,2335.8,LAYER_2,BOTTOM_LAYER,0.00133206,0.00133206,-0
5459.47,2477.53,TOP_LAYER,LAYER_1,0.00132981,0.00132981,2.58722e-05
5459.47,2477.53,LAYER_1,LAYER_2,0.00132981,0.00132978,2.58722e-05
5459.47,2477.53,LAYER_2,BOTTOM_LAYER,0.00132978,0.00132978,-0
5494.91,1839.73,TOP_LAYER,LAYER_1,0.00135031,0.00135031,-0
5494.91,1839.73,LAYER_1,LAYER_2,0.00135031,0.00135031,-7.97861e-16
5494.91,1839.73,LAYER_2,BOTTOM_LAYER,0.00135031,0.00135031,-0
5494.91,2264.93,TOP_LAYER,LAYER_1,0.00133297,0.00133307,-0.000676393
5494.91,2264.93,LAYER_1,LAYER_2,0.00133307,0.00133362,-0.000676393
5494.91,2264.93,LAYER_2,BOTTOM_LAYER,0.00133362,0.00133362,-0
5494.91,2406.66,TOP_LAYER,LAYER_1,0.00133104,0.00133106,-0.000148303
5494.91,2406.66,LAYER_1,LAYER_2,0.00133106,0.00133118,-0.000148303
5494.91,2406.66,LAYER_2,BOTTOM_LAYER,0.00133118,0.00133118,2.91711e-15
5494.91,2548.4,TOP_LAYER,LAYER_1,0.00132892,0.00132891,5.11136e-05
5494.91,2548.4,LAYER_1,LAYER_2,0.00132891,0.00132887,5.11136e-05
5494.91,2548.4,LAYER_2,BOTTOM_LAYER,0.00132887,0.00132887,-0
5530.34,1910.6,TOP_LAYER,LAYER_1,0.00134485,0.00134485,-0
5530.34,1910.6,LAYER_1,LAYER_2,0.00134485,0.00134485,-7.97861e-16
5530.34,1910.6,LAYER_2,BOTTOM_LAYER,0.00134485,0.00134485,-0
5530.34,2194.07,TOP_LAYER,LAYER_1,0.00133358,0.00133384,-0.00174441
5530.34,2194.07,LAYER_1,LAYER_2,0.00133384,0.00133526,-0.00174441
