x,y,layer1,layer2,voltage1,voltage2,current
5388.61,1910.6,TOP_LAYER,LAYER_1,0.00116045,0.00116045,-1.45856e-15
5388.61,1910.6,LAYER_1,LAYER_2,0.00116045,0.00115919,0.00154283
5388.61,1910.6,LAYER_2,BOTTOM_LAYER,0.00115919,0.00115909,0.000674405
5388.61,2194.07,TOP_LAYER,LAYER_1,0.0012214,0.00121914,0.0152364
5388.61,2194.07,LAYER_1,LAYER_2,0.00121914,0.00121136,0.00954454
5388.61,2194.07,LAYER_2,BOTTOM_LAYER,0.00121136,0.00121079,0.00384893
5388.61,2335.8,TOP_LAYER,LAYER_1,0.00122787,0.00122778,0.000593944
5388.61,2335.8,LAYER_1,LAYER_2,0.00122778,0.00122514,0.00324342
5388.61,2335.8,LAYER_2,BOTTOM_LAYER,0.00122514,0.00122488,0.00175134
5388.61,2477.53,TOP_LAYER,LAYER_1,0.00122979,0.00122956,0.00152261
5388.61,2477.53,LAYER_1,LAYER_2,0.00122956,0.00122782,0.00213537
5388.61,2477.53,LAYER_2,BOTTOM_LAYER,0.00122782,0.00122765,0.00114277
5424.04,1839.73,TOP_LAYER,LAYER_1,0.00114341,0.00114341,-0
5424.04,1839.73,LAYER_1,LAYER_2,0.00114341,0.00114208,0.00162859
5424.04,1839.73,LAYER_2,BOTTOM_LAYER,0.00114208,0.001142,0.000560834
5424.04,1981.47,TOP_LAYER,LAYER_1,0.00117783,0.00117783,-0
5424.04,1981.47,LAYER_1,LAYER_2,0.00117783,0.00117505,0.00341076
5424.04,1981.47,LAYER_2,BOTTOM_LAYER,0.00117505,0.00117495,0.000699011
5424.04,2264.93,TOP_LAYER,LAYER_1,0.00123031,0.00122948,0.00558511
5424.04,2264.93,LAYER_1,LAYER_2,0.00122948,0.00122331,0.00756208
5424.04,2264.93,LAYER_2,BOTTOM_LAYER,0.00122331,0.00122277,0.00368779
5424.04,2406.66,TOP_LAYER,LAYER_1,0.00123215,0.0012318,0.00239444
5424.04,2406.66,LAYER_1,LAYER_2,0.0012318,0.00122894,0.00350899
5424.04,2406.66,LAYER_2,BOTTOM_LAYER,0.00122894,0.00122866,0.00185607
5424.04,2548.4,TOP_LAYER,LAYER_1,0.00123098,0.0012308,0.00118002
5424.04,2548.4,LAYER_1,LAYER_2,0.0012308,0.00122929,0.00186145
5424.04,2548.4,LAYER_2,BOTTOM_LAYER,0.00122929,0.00122914,0.00100153
5459.47,1910.6,TOP_LAYER,LAYER_1,0.00115872,0.00115872,-0
5459.47,1910.6,LAYER_1,LAYER_2,0.00115872,0.00115723,0.00182975
5459.47,1910.6,LAYER_2,BOTTOM_LAYER,0.00115723,0.00115715,0.00053675
5459.47,2194.07,TOP_LAYER,LAYER_1,0.00123322,0.00123029,0.0196691
5459.47,2194.07,LAYER_1,LAYER_2,0.00123029,0.00121771,0.0154332
5459.47,2194.07,LAYER_2,BOTTOM_LAYER,0.00121771,0.00121688,0.00557572
5459.47,2335.8,TOP_LAYER,LAYER_1,0.00123665,0.00123609,0.00378898
5459.47,2335.8,LAYER_1,LAYER_2,0.00123609,0.00123089,0.00637886
5459.47,2335.8,LAYER_2,BOTTOM_LAYER,0.00123089,0.00123042,0.00318235
5459.47,2477.53,TOP_LAYER,LAYER_1,0.00123375,0.00123349,0.00175338
5459.47,2477.53,LAYER_1,LAYER_2,0.00123349,0.00123107,0.00296838
5459.47,2477.53,LAYER_2,BOTTOM_LAYER,0.00123107,0.00123084,0.00155383
5494.91,1839.73,TOP_LAYER,LAYER_1,0.00114126,0.00114126,-0
5494.91,1839.73,LAYER_1,LAYER_2,0.00114126,0.00113991,0.00165689
5494.91,1839.73,LAYER_2,BOTTOM_LAYER,0.00113991,0.00113988,0.000241181
5494.91,1981.47,TOP_LAYER,LAYER_1,0.00117857,0.00117857,-0
5494.91,1981.47,LAYER_1,LAYER_2,0.00117857,0.00117498,0.00440083
5494.91,1981.47,LAYER_2,BOTTOM_LAYER,0.00117498,0.001175,-0.0001205
5494.91,2264.93,TOP_LAYER,LAYER_1,0.00123643,0.00123539,0.00700764
5494.91,2264.93,LAYER_1,LAYER_2,0.00123539,0.00122673,0.0106142
5494.91,2264.93,LAYER_2,BOTTOM_LAYER,0.00122673,0.00122603,0.00469717
5494.91,2406.66,TOP_LAYER,LAYER_1,0.00123587,0.00123541,0.00306164
5494.91,2406.66,LAYER_1,LAYER_2,0.00123541,0.00123148,0.00482469
5494.91,2406.66,LAYER_2,BOTTOM_LAYER,0.00123148,0.00123111,0.0024791
5494.91,2548.4,TOP_LAYER,LAYER_1,0.00123216,0.00123198,0.00120548
5494.91,2548.4,LAYER_1,LAYER_2,0.00123198,0.00123029,0.00208158
5494.91,2548.4,LAYER_2,BOTTOM_LAYER,0.00123029,0.00123012,0.00110686
5530.34,1910.6,TOP_LAYER,LAYER_1,0.00115758,0.00115758,-0
5530.34,1910.6,LAYER_1,LAYER_2,0.00115758,0.00115574,0.00225292
5530.34,1910.6,LAYER_2,BOTTOM_LAYER,0.00115574,0.00115576,-0.000137855
5530.34,2194.07,TOP_LAYER,LAYER_1,0.00124383,0.00123927,0.0306407
5530.34,2194.07,LAYER_1,LAYER_2,0.00123927,0.00122123,0.0221214
5530.34,2194.07,LAYER_2,BOTTOM_LAYER,0.00122123,0.00122037,0.00583406
5530.34,2335.8,TOP_LAYER,LAYER_1,0.00124362,0.00124222,0.00946283
5530.34,2335.8,LAYER_1,LAYER_2,0.00124222,0.00123382,0.0103003
