vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,J2,2
VCOMP1,1,J2,1
VCOMP2,0,IC3,pdna_pin_D_1
VCOMP2,1,IC3,pdna_pin_D_2
VCOMP2,2,IC3,pdna_pin_D_3
VCOMP2,3,IC3,pdna_pin_D_4
VCOMP2,4,IC3,pdna_pin_S_1
VCOMP2,5,IC3,pdna_pin_S_2
VCOMP3,0,IC2,pdna_pin_S_1
VCOMP3,1,IC2,pdna_pin_S_2
VCOMP3,2,IC2,pdna_pin_D_1
VCOMP3,3,IC2,pdna_pin_D_2
VCOMP3,4,IC2,pdna_pin_D_3
VCOMP3,5,IC2,pdna_pin_D_4
VCOMP4,0,L1,1
VCOMP4,1,L1,2
